Pose,nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
Mountain,249.2029973580135,72.49481549401501,259.87330709750233,63.97709510138422,239.8662171423188,62.22121052722218,273.7967463449819,69.62650346558125,222.71977024948944,74.5767696269815,288.3065251393932,129.3852952506038,209.73515807345694,133.13627440899737,301.3085329681017,196.18576493006032,194.0362700782871,201.94731906241898,326.5931695328709,265.41873726112715,180.83369781367514,267.8153643469593,279.41071443043313,258.58607628533457,218.9663930552629,266.0315739168666,269.45682383177194,366.7259374594788,230.78375535387227,365.10182614148414,259.1455704938327,460.982769851368,241.49626419257328,461.70132585580916
Mountain,242.985800588774,119.33018854544866,257.66644932917046,105.38998679006744,247.03029775025936,114.00605830908812,270.55574155942037,129.26244142144552,231.75499943776745,136.8718127492058,273.80925095427585,157.62321187252826,233.11151211687144,157.06748487543766,284.0181722680563,118.315835216728,223.865239946674,140.30170044958342,264.97646980760504,55.12097465546795,259.2568456879296,48.97811303989521,276.26882845930044,271.44819077614443,241.76000064834025,273.28513371004607,272.2204691146914,370.53718408608336,249.50735005105682,367.2865238427127,246.86966892099974,445.9288347806179,278.12831134717004,445.9277267772628
Mountain,243.82253306535276,124.14614095727438,248.6018738806001,107.10779562036032,235.10777010462596,112.4925573831772,265.51101811199266,128.75256202032952,221.37945024799015,127.53872851613151,262.89627265138745,156.00149067605682,221.37376777364014,158.20822181543375,253.16752833449496,129.15815456279586,208.5058600081448,115.38844286653513,244.8507285217032,52.920060533705595,229.8445958814186,52.61228094457096,256.9220768465541,269.1441769421843,220.17951427158974,269.82262322516857,256.4577442976449,368.35720331342384,227.24920882228997,369.73432485493385,217.32099224422973,441.71683916907097,255.03714153875453,445.0186258529727
Mountain,240.63433255397442,60.84876634273292,251.3667854530683,52.62330557795482,231.64095423528266,49.869687725399544,264.60006523923755,59.503598826554814,212.01163010973158,56.754915546084845,276.41011471570283,118.68377147373819,196.6497492493436,119.47225040419964,293.55437725906063,189.4448308034557,182.45818901853443,180.81237666339803,315.54856043138943,251.2404888991993,165.7894815152117,251.54427176194568,264.0568745086797,245.483176836829,215.0497753095825,241.58761115489662,263.584944222478,357.4976940867317,219.92806082444568,361.45557704308226,253.7704879317541,449.5472888234246,225.04597580779145,458.85404214819437
Mountain,257.95239333789874,60.38459208001735,268.4198593202963,50.57489624656583,250.33946057078253,51.62417938105794,281.56742713263424,60.36263382781097,235.89696923726825,57.12967393803894,304.98884525536505,117.9135271127788,219.21817890341353,118.62785687585094,320.2503251831561,192.6355322366928,210.72411438241542,187.41940067022176,338.2045065218977,248.99883982551543,179.66940788807221,249.49433892594337,289.07009773729254,248.4191324700953,233.34623471335257,244.8792358651696,276.87680572889656,364.214347111239,241.51052577861614,362.41229045440554,290.0043028518867,455.0334882934064,243.93499540590156,456.45356870785787
Mountain,244.77782190093362,48.91088493632083,252.9877310471911,44.59392183549177,235.0598093879668,42.25133365615275,266.8038522554137,44.08605266903447,219.6036690992933,46.12159729003907,281.6400804954941,100.87610775009728,205.06349935571185,106.46686316525788,312.5396032056373,177.6649665041089,185.9480988435231,178.11005145187698,337.8743215220598,240.76990467878795,165.7861258479075,248.19770591387606,280.4183326816164,233.14755388315294,216.74297855108117,237.38846838226956,284.58708450507334,346.3422529924955,220.8342176255349,348.3084207748477,266.88777559525744,458.5285740769257,213.57084408835254,459.87745736149833
Mountain,254.54381095917893,46.10904519488703,262.07123752451537,39.004234852137905,246.564192395982,40.082670346335256,272.90379061243846,42.53986960130114,231.47545019126042,47.12848742473175,289.74544161088244,98.88671146883509,206.79665403247373,100.64884043333444,302.2242819125227,171.12782585175702,188.8186981074543,172.69201001685687,327.7675581176252,246.36278904325246,168.98861960256744,241.2243601692168,273.95515916753106,226.92552938500882,214.92631207857886,226.04522071933349,274.8492862179072,343.73116394296227,219.43878237142604,345.823739079519,276.9845986267344,457.2909026719723,218.82882652441003,460.9599766394904
Mountain,252.01719925116703,135.6828301774021,261.6569234127821,122.078590867925,240.69346827590118,123.71525428107172,273.5897713182378,133.39834885973158,237.7860833005787,136.02947694137384,270.8734852644418,176.64954474358146,227.5057432562484,166.06219279815545,281.4894236964309,110.03321730744295,227.30918346104286,232.01249941750683,279.1837636860575,82.7819776732892,233.578282273162,82.01294420171081,268.37873656720046,281.14423316544026,232.2551204950483,282.6342760774605,258.35086300165335,371.6267312710711,234.68745694615532,366.25623900860677,261.5365942484116,445.3861347372602,247.2439207971344,449.7723401334771
Mountain,243.12909707983502,141.04072285885633,252.26515457343262,127.34782745234699,239.20024381138973,131.25347596481134,264.30437080098386,141.65564889235122,229.92874082193336,139.66331640219792,266.6778564453125,168.32221889891568,215.26111903526973,170.0636202863638,295.1863079150188,140.59492562321708,201.4218247283049,136.118085552548,273.68154565328393,91.29495739442186,220.58838333826344,83.97398351139053,265.0929526174712,276.7407429168828,224.85774186636903,276.991499904775,252.04630808216905,371.42634094998056,227.4329157785756,367.6654609901777,252.6950757038544,452.8645558970598,238.18901663499256,453.4761104346312
Mountain,221.435325274329,131.09800726546294,232.50731788730224,119.67822822792402,218.26523270349784,120.01245744000828,235.8027256376021,142.03696033272013,217.74121043098418,147.5594706555125,246.7944038359456,164.39543917960648,209.4899569309599,158.12854054557837,221.69646583652099,51.044456197018455,224.3070641988541,71.73388627554867,237.40173276529273,46.06178093747975,230.559289702736,65.39764246010682,243.60970144944568,270.0798382897595,211.03812253326802,268.103571848256,247.27097190761964,374.58680972024115,210.72197751880188,377.1941948728443,237.72765986652297,446.9299949551025,224.7613614030893,446.6611933411405
