Pose,nose_x,nose_y,leftEye_x,leftEye_y,rightEye_x,rightEye_y,leftEar_x,leftEar_y,rightEar_x,rightEar_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
TrianglePose,128.03544751103058,148.86978149414062,116.83107682460329,153.0595661031789,120.40948423079256,156.7619586813039,123.20480741985102,141.70658506196122,124.73253635544849,149.6057234139278,140.96942170296307,144.47891235351562,123.90342277566386,163.50631713867188,141.8022511536593,62.040457889951504,139.8584553614799,55.360521776922816,122.31426337840023,152.63152550006737,116.80077271140301,151.8596254546067,212.26523601947048,135.89489640860722,195.64001844336948,140.74610216864227,170.78286600854108,204.3096345046471,155.29552716665316,208.22835988011852,157.11641459885038,270.39039348733843,152.90829357087918,269.6844587654903
TrianglePose,142.5221813775097,163.89682112068968,142.1324260494252,150.58456420898438,141.46442314503722,157.32969612910833,148.47960793292583,143.99133090315198,153.57430413596987,153.8372907967403,167.2336242359537,163.59333959119076,166.7208656745871,168.6197109880119,168.8244755403983,189.0238005539467,167.32228333468262,189.014787345097,154.109848101522,105.11301237961342,158.24879068167098,193.1932225720636,257.457025557602,162.8965917126886,255.4903653001538,154.3398048137796,168.77631152849742,189.76520406788796,163.80624721704984,192.75997293406516,158.3581005353384,254.6868107236665,161.14378617835166,245.9017891719424
TrianglePose,156.56436267912076,160.1416120858028,151.78126201728463,147.9069939975081,154.32614341301002,157.94573553677264,161.54857892446566,138.89904153758079,154.37917758763763,152.56963269463898,190.9831150825777,147.5775462183459,169.6850554313067,166.4080494847791,209.52934304667255,178.84724057953937,182.18042245182968,133.94870626515356,190.48620036228948,47.96896046605604,190.33930486965676,258.30737409920533,274.0090800072863,150.95705755825702,272.1485829723931,155.1487363617996,203.3175137376538,209.085719667632,199.34466268114474,226.8022155761719,180.05274639228463,272.0759740369073,181.77893445899448,263.0142580229661
TrianglePose,119.88198077740446,144.27945367221173,108.29746859061285,142.6434378788389,109.50056481237856,144.16711215315198,112.04110575463487,132.96110482051458,122.54398326181992,132.04060521619076,130.60622141151228,144.3976671942349,127.79652491752348,143.71978233600487,133.07335413799385,208.9867164348734,129.55416348314034,209.85318414096176,132.5511714955068,262.5635660105738,120.93472653720043,258.23274283573545,175.5103234800032,151.36730851798222,179.56606217616581,174.6366829707705,138.14407902060393,216.93994982489227,137.9241627115042,219.23803395238414,130.3989074390787,263.18411991514006,133.32834194361237,263.06164445548217
TrianglePose,151.33919987653817,157.15105780239764,143.38655620041288,150.80504844928612,147.36252226360102,151.64343472184808,149.95823993584034,142.264299063847,151.2779907859051,146.7148037614494,166.98164075149768,150.16201676993538,164.38657138014085,154.26899350922685,165.37224171692841,134.8871533624057,159.74962303675517,136.85785753973602,160.6944504179485,126.93702960836477,165.08118624514245,129.10787122002964,208.46012095713246,165.0291074555496,211.07789667159162,167.89401350350218,173.79621594681018,213.9936407681169,173.53074464155603,216.4819020238416,161.87276099012306,279.5228734509698,169.05318344195268,266.9268588362069
TrianglePose,150.40781287949318,193.471100905846,151.43979719883419,185.930123164736,148.85905369575775,190.36269615436424,159.05836036168233,183.92237169989227,152.5522182642487,188.93531010068696,192.7592223172361,178.6462507576778,161.43449378137143,181.33089262863686,169.85543206565737,240.27404258991112,162.9592816446729,241.27046782394936,177.09809140220204,48.503364036823136,160.76394511010358,266.2541040880927,218.2326084591564,179.05192408068427,208.37875129027682,183.2351263638201,262.94596775825767,239.19158935546884,174.92109703894104,246.9017818056304,164.18746394814605,288.390955431708,165.54910136010358,288.2791032462285
TrianglePose,286.81596350793393,61.14032087654903,291.7056385099578,55.23361863761113,283.7243905339216,54.154578899515094,298.328838447215,53.97889630547886,278.91833053351684,57.455252285661366,294.76299384715026,66.9946131212958,286.4365968061852,72.92747497558594,291.2540099781412,102.64657382307381,288.177268863342,104.39321057549841,291.22842581160944,114.399932335163,290.8170551833711,114.18378106478987,289.2293505100388,122.8418126599542,284.7827021939766,125.4669452535695,289.52633556306665,156.06011226259432,295.82029352534,152.6040754647091,283.98715795012953,181.43575207940464,296.5495213325777,179.5272406216326
TrianglePose,136.70031295539184,138.99951277108028,142.50357039851843,132.29450620453935,147.29030787018294,136.69397814520474,147.37499810253402,138.2776194605334,146.24885203307156,134.5134761415679,170.8725212769187,141.77065619106952,167.86859541977006,151.90265523976294,172.67808667118683,190.7888899178341,166.8588272648154,191.21726200498384,162.76314690940737,228.73606188543914,165.93849300720532,231.9828375454607,208.89824585593425,163.7141260607489,207.9729307500809,164.09760573814654,170.04989070595855,204.2190130825701,171.41881754978948,205.49208542396286,165.71628392669203,246.03280429182385,164.58740234374997,245.6225375471444
TrianglePose,137.9522293960492,168.37218712116112,132.36174904620708,154.7820203057651,137.0147388833792,157.44292160560346,148.72512422077398,144.0192544871363,134.5448073945515,156.59796879209318,180.20180815859774,148.80583664466596,147.75181903740284,164.7303614123114,221.7079281189281,184.79387480637124,147.3222959844559,179.1840283624057,275.94028927501614,241.55582822602366,144.46218223769432,267.63664508688043,233.51179528112854,171.06825729896283,214.34117450615284,178.0242919921875,146.38986538111234,257.7425252980199,146.99556815191872,258.764569512729,285.037563501862,275.5791289230873,143.8722758713164,280.66125277815195
TrianglePose,122.51337081039507,26.45569768445245,85.81582499291612,140.78179195009432,118.01700097909244,21.957285650845233,104.38378684878964,151.78412601865568,122.14658272698752,4.41467729108087,136.32538948652038,157.36361799568968,139.87436245142484,153.42984955886317,131.7454362780319,140.10981066473602,124.847167020017,178.3495251885776,77.78729848911107,277.9582372205011,79.49979317620628,255.85001978380927,146.92495079238182,295.8667728818696,194.6595503258581,304.69930714574355,65.18676046262749,307.5787353515625,128.1116861135848,310.87895886651404,58.13192258844721,288.122137661638,58.12407972899125,287.27066566204206
